sample_id,study_area,var_baseline,var_ENSO,var_year_to_year,var_combined,var_spatial,var_temporal
143,SA2,2.8633871487050635e-4,2.8652022784658374e-4,2.864972265150636e-4,2.8668118941001697e-4,2.8633871487050635e-4,3.424745395106234e-7
144,SA2,3.0617684112299777e-4,3.0624694132005487e-4,3.062862390328158e-4,3.063550870506742e-4,3.0617684112299777e-4,1.7824592767642748e-7
145,SA2,3.1699975997039867e-4,3.17022287698579e-4,3.1706446301325923e-4,3.170870149929968e-4,3.1699975997039867e-4,8.725502259810574e-8
146,SA2,3.0896877412419103e-4,3.0897675961216454e-4,3.090618288518148e-4,3.0906983497213834e-4,3.0896877412419103e-4,1.0106084794730442e-7
147,SA2,3.193037330826305e-4,3.1935042914118015e-4,3.1921941018687414e-4,3.1926609734331284e-4,3.193037330826305e-4,-3.763573931767506e-8
148,SA2,3.2951178377552435e-4,3.295590194786814e-4,3.29461635800069e-4,3.2951037904998886e-4,3.2951178377552435e-4,-1.4047255354906162e-9
149,SA2,3.0380932948494724e-4,3.039795874564996e-4,3.0400037026608913e-4,3.041714619077175e-4,3.0380932948494724e-4,3.6213242277023964e-7
150,SA2,3.017582291314949e-4,3.017704684794533e-4,3.0168492745885736e-4,3.016973059865052e-4,3.017582291314949e-4,-6.092314498972731e-8
151,SA2,3.215271085022543e-4,3.215445538385702e-4,3.2160590045814916e-4,3.2162324160344433e-4,3.215271085022543e-4,9.613310119005675e-8
152,SA2,3.166484235597517e-4,3.166632900770296e-4,3.166458807440395e-4,3.1666069330531775e-4,3.166484235597517e-4,1.2269745566025232e-8
153,SA2,3.007788139821856e-4,3.0080068069385197e-4,3.007879927796269e-4,3.008100166641699e-4,3.007788139821856e-4,3.1202681984314647e-8
154,SA2,2.876179072978104e-4,2.880026351809039e-4,2.877308964553884e-4,2.881177750158803e-4,2.876179072978104e-4,4.998677180699193e-7
155,SA2,3.0286724691494006e-4,3.0290789169671624e-4,3.0298715861912733e-4,3.0302770015896773e-4,3.0286724691494006e-4,1.6045324402767574e-7
156,SA2,3.282369634498247e-4,3.283176746529811e-4,3.2852137257606735e-4,3.2860169127897713e-4,3.282369634498247e-4,3.6472782915245505e-7
157,SA2,2.8815118907206654e-4,2.8818413438693325e-4,2.880166696730473e-4,2.8804985186535367e-4,2.8815118907206654e-4,-1.0133720671287464e-7
158,SA2,3.051876009045798e-4,3.051900843936328e-4,3.0517494235693783e-4,3.0517738863536484e-4,3.051876009045798e-4,-1.0212269214949707e-8
159,SA2,3.2142118324815494e-4,3.2143761819361657e-4,3.214084964259745e-4,3.214249170220604e-4,3.2142118324815494e-4,3.733773905453732e-9
160,SA2,3.2885482277541004e-4,3.288599431555561e-4,3.2889245612413175e-4,3.288975389681027e-4,3.2885482277541004e-4,4.271619269267295e-8
161,SA2,3.2542588942707887e-4,3.2545378562478876e-4,3.2537900808132987e-4,3.254061274991965e-4,3.2542588942707887e-4,-1.9761927882360007e-8
162,SA2,3.3180401108541784e-4,3.318183517548559e-4,3.3177239054025165e-4,3.317870123392317e-4,3.3180401108541784e-4,-1.699874618615784e-8
163,SA2,3.328652550296338e-4,3.329879895863518e-4,3.3293979392182675e-4,3.330599623097441e-4,3.328652550296338e-4,1.947072801103118e-7
